Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
M1_2	(1.0, 10.048620696395128)	(2.0, 15.560519074327326)	(3.0, 19.807277549466036)	(4.0, 18.210225320480752)	(5.0, 13.868258103703281)	(6.0, 8.872410278970207)	(7.0, 5.173832259276503)	(8.0, 2.8010823666724924)	(9.0, 1.5484342789482604)	('>10', 4.027572211206866)	('>50', 0.004913405058866662)	('>100', 0.004289949314583163)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07256450617971254)
RAM22_1	(1.0, 9.645267885703364)	(2.0, 15.64459754700986)	(3.0, 19.768713648116485)	(4.0, 18.220167095631147)	(5.0, 13.82730526729327)	(6.0, 8.755366145156335)	(7.0, 4.8821092774685075)	(8.0, 2.853079083882755)	(9.0, 1.4219120592109373)	('>10', 4.120070474604878)	('>50', 0.8470848845531074)	('>100', 0.014326631369349677)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
RAM22_2	(1.0, 10.68475496879464)	(2.0, 15.83625723026539)	(3.0, 20.297899919880756)	(4.0, 18.086569624074027)	(5.0, 13.365311700458477)	(6.0, 8.409396018930185)	(7.0, 4.814624430826572)	(8.0, 2.4608189267480447)	(9.0, 1.2261797241341812)	('>10', 3.9867502803356802)	('>50', 0.7540366334835955)	('>100', 0.018029812042140294)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.05937073002631296)	('>10k+', 0.0)
RAM23_1	(1.0, 9.22952664759151)	(2.0, 14.438288535803077)	(3.0, 19.723238387944804)	(4.0, 18.91678004716734)	(5.0, 14.385777734970285)	(6.0, 9.548146336297503)	(7.0, 5.546695226473777)	(8.0, 3.019251389236949)	(9.0, 1.5480947889402872)	('>10', 3.6172257212652923)	('>50', 0.02497588353901371)	('>100', 0.001999300770153646)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
RAM23_2	(1.0, 9.23627006036896)	(2.0, 14.960970060303483)	(3.0, 19.838013774817203)	(4.0, 18.942436527558527)	(5.0, 14.346982177462214)	(6.0, 9.427456132766991)	(7.0, 5.440046356219037)	(8.0, 2.8523954827794733)	(9.0, 1.3821848103111516)	('>10', 3.4925025605225044)	('>50', 0.02861986778223016)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.05212218910822969)	('>10k+', 0.0)
RAM33_1	(1.0, 14.934562325317174)	(2.0, 21.952055916842962)	(3.0, 21.89205312709703)	(4.0, 15.734287758873391)	(5.0, 9.355946240301428)	(6.0, 4.8783962374471495)	(7.0, 2.4234290281245037)	(8.0, 1.0679578687571876)	(9.0, 0.5739130733850031)	('>10', 6.2182666333988905)	('>50', 0.900234059956663)	('>100', 0.03855099862015209)	('>500', 0.007791842782273965)	('>1k', 0.022554889096137228)	('>5k', 0.0)	('>10k+', 0.0)
RAM33_2	(1.0, 16.199568769693563)	(2.0, 22.095783768663306)	(3.0, 21.629418161969046)	(4.0, 15.504134195732552)	(5.0, 9.009394934529139)	(6.0, 4.6577139447156535)	(7.0, 2.3085560146594837)	(8.0, 1.0786254202247514)	(9.0, 0.5263463793563276)	('>10', 6.10544471592303)	('>50', 0.8257927363754599)	('>100', 0.022098769962611797)	('>500', 0.0)	('>1k', 0.03712218819507838)	('>5k', 0.0)	('>10k+', 0.0)
RAM46_1	(1.0, 8.868481525591337)	(2.0, 14.613072294110918)	(3.0, 19.71634577990762)	(4.0, 18.843831573608654)	(5.0, 14.437462801846651)	(6.0, 9.636190826934978)	(7.0, 5.725646840868203)	(8.0, 3.0966441948979955)	(9.0, 1.7012891543444202)	('>10', 3.3464169094215226)	('>50', 0.010755833579623262)	('>100', 0.0038622648880878583)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
RAM46_2	(1.0, 9.360179422652793)	(2.0, 15.135154739642209)	(3.0, 20.006383982679647)	(4.0, 18.786502686320567)	(5.0, 14.12224103084759)	(6.0, 9.495723259536193)	(7.0, 5.463360120992716)	(8.0, 2.942250471861511)	(9.0, 1.5415519643008118)	('>10', 3.0881083787136787)	('>50', 0.009725619600797014)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.04881832285145925)	('>10k+', 0.0)
RAM54_1	(1.0, 10.42643005151643)	(2.0, 16.445874149334553)	(3.0, 20.54537200142852)	(4.0, 18.36371880688458)	(5.0, 13.17894403274826)	(6.0, 8.269238552810931)	(7.0, 4.573077080855799)	(8.0, 2.356119412969195)	(9.0, 1.209259122134136)	('>10', 3.773750047646137)	('>50', 0.838615652992716)	('>100', 0.019601088678706764)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
RAM54_2	(1.0, 11.2535251084742)	(2.0, 17.05842632736431)	(3.0, 20.6863787355557)	(4.0, 18.118286795782463)	(5.0, 12.9057608532828)	(6.0, 7.994090662579658)	(7.0, 4.191779323899896)	(8.0, 2.165331302964807)	(9.0, 1.0821342772540927)	('>10', 3.610575311893637)	('>50', 0.8435378920473289)	('>100', 0.019490545857549516)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07068286304351787)
RAM87_1	(1.0, 9.063084803937357)	(2.0, 14.618354384091353)	(3.0, 19.665495069415304)	(4.0, 18.57281363016429)	(5.0, 14.498763904615306)	(6.0, 9.830441034849159)	(7.0, 5.691806989668364)	(8.0, 3.1503940533346126)	(9.0, 1.5923951043550555)	('>10', 3.3087834998450374)	('>50', 0.0023482500554069833)	('>100', 0.005319275668707922)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
RAM87_2	(1.0, 9.498203913391867)	(2.0, 15.239017634328835)	(3.0, 19.63416378372614)	(4.0, 18.931322825856288)	(5.0, 14.28128254968267)	(6.0, 9.272643656497785)	(7.0, 5.467660670721211)	(8.0, 2.9832406137698073)	(9.0, 1.4953630652323717)	('>10', 3.116668076245356)	('>50', 0.006101856122903109)	('>100', 0.005904645176197732)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06842670924856482)
