Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
M12_1	(1, 36.151314912600895)	(2, 36.13368066126608)	(3, 36.26292822362766)	(4, 36.25865129728022)	(5, 36.31584963624109)	(6, 36.37649359832456)	(7, 36.34962196725302)	(8, 36.34483217794044)	(9, 36.384398380208836)	(10, 36.3478040838595)	(15, 36.31736439187333)	(20, 36.27861008787645)	(25, 36.225259440183265)	(30, 36.186573750111094)	(35, 36.15203762272156)	(40, 36.125229580189384)	(45, 36.1014717350995)	(50, 36.078502415263635)	(55, 36.04520470950753)	(60, 36.018277450903135)	(65, 35.986010683048754)	(70, 35.95748331189563)	(75, 35.91736471528922)	(80, 35.883475369920916)	(85, 35.856286791278386)	(90, 35.80769468594731)	(95, 35.77714861501189)	(100, 35.737292146983314)	(105, 35.69240178528058)	(110, 35.636648879000106)	(115, 35.57264052093841)	(120, 35.52708377323595)	(125, 35.456631540176744)	(130, 35.44541563886237)	(135, 35.37085183204839)	(140, 35.33536980025772)	(145, 35.27821471195243)	(150, 35.10009563159049)
M12_2	(1, 36.053746496301954)	(2, 36.03195641299189)	(3, 36.08162084101939)	(4, 36.056744872567606)	(5, 36.0775650191882)	(6, 36.1041620577311)	(7, 36.04240075594732)	(8, 36.06128911458619)	(9, 36.093401824525856)	(10, 36.064463453973474)	(15, 36.02541251541124)	(20, 36.00478681637422)	(25, 35.959458686387904)	(30, 35.90867333620717)	(35, 35.874377817799804)	(40, 35.81262096920402)	(45, 35.75890207520427)	(50, 35.72338670669892)	(55, 35.674087129111165)	(60, 35.64404725379795)	(65, 35.593855583237335)	(70, 35.528834124904094)	(75, 35.495257124649896)	(80, 35.42813765500718)	(85, 35.37329766470716)	(90, 35.315018818140075)	(95, 35.26362178900111)	(100, 35.208818382013746)	(105, 35.11421179598503)	(110, 35.05994565742334)	(115, 34.995078418712744)	(120, 34.9406269130905)	(125, 34.82880371759101)	(130, 34.7456391005829)	(135, 34.58032873856794)	(140, 34.451331114493016)	(145, 34.34196191168395)	(150, 34.15109415015914)
M1_1	(1, 36.15520086036294)	(2, 36.138102501571915)	(3, 36.26452760551329)	(4, 36.25587809205381)	(5, 36.30846987497951)	(6, 36.36911401435793)	(7, 36.34323718859836)	(8, 36.34619588144272)	(9, 36.3776139231542)	(10, 36.34689323970857)	(15, 36.309123513888835)	(20, 36.27682558692605)	(25, 36.220508548282965)	(30, 36.18383687952163)	(35, 36.14808508355184)	(40, 36.120802691104345)	(45, 36.09824805834329)	(50, 36.07283413716789)	(55, 36.04256591984524)	(60, 36.01286318557267)	(65, 35.982483956676134)	(70, 35.95336800735155)	(75, 35.91319015775291)	(80, 35.881293832655665)	(85, 35.85185953682583)	(90, 35.806053098964654)	(95, 35.76994574457073)	(100, 35.73706018270893)	(105, 35.68637826632698)	(110, 35.63693936349689)	(115, 35.5671489142772)	(120, 35.526827104221454)	(125, 35.45269048349)	(130, 35.44394107422257)	(135, 35.368713713979915)	(140, 35.32961479754133)	(145, 35.27389438468558)	(150, 35.09678880529488)
M1_2	(1, 36.051084979100835)	(2, 36.056281765675)	(3, 36.07445637496812)	(4, 36.054320437252)	(5, 36.074810432697454)	(6, 36.105381445077455)	(7, 36.052982229183854)	(8, 36.06696511900543)	(9, 36.09846051954187)	(10, 36.06615364153222)	(15, 36.02807721619254)	(20, 36.00840308078034)	(25, 35.96345889168642)	(30, 35.91327956197773)	(35, 35.8793608315071)	(40, 35.812701694875415)	(45, 35.76479915822974)	(50, 35.723896021505354)	(55, 35.679840615587665)	(60, 35.64553487850448)	(65, 35.59785809682283)	(70, 35.53212487560336)	(75, 35.49669124021203)	(80, 35.43295078232349)	(85, 35.375284393285355)	(90, 35.32005171952068)	(95, 35.26408289519354)	(100, 35.21554338664718)	(105, 35.115301369729295)	(110, 35.06825088243843)	(115, 34.997513361993946)	(120, 34.947734120175504)	(125, 34.83430782211933)	(130, 34.75501794824343)	(135, 34.592619582964886)	(140, 34.465338193194)	(145, 34.35649727474488)	(150, 34.16693848499282)
RAM22_1	(1, 36.20295611923229)	(2, 36.180661753797764)	(3, 36.3037368517824)	(4, 36.29634029536159)	(5, 36.347306428924554)	(6, 36.40625888268097)	(7, 36.376606990670695)	(8, 36.37358109865376)	(9, 36.414396451231376)	(10, 36.37863533410719)	(15, 36.345361509469704)	(20, 36.31112271661533)	(25, 36.2591394147299)	(30, 36.22155448782176)	(35, 36.186812943702435)	(40, 36.16019433040016)	(45, 36.137645524904556)	(50, 36.11349233997671)	(55, 36.08219862947901)	(60, 36.054309160027174)	(65, 36.02347125399501)	(70, 35.993604371046686)	(75, 35.95323286118114)	(80, 35.92028042542901)	(85, 35.89237679918029)	(90, 35.84400278992485)	(95, 35.81172657552632)	(100, 35.77421470163626)	(105, 35.727414402863715)	(110, 35.674159455599636)	(115, 35.6084850513227)	(120, 35.565021798137636)	(125, 35.49441032193271)	(130, 35.48317791480493)	(135, 35.4055854112975)	(140, 35.36999822053503)	(145, 35.31253235376849)	(150, 35.135283300565945)
RAM22_2	(1, 35.959107574268614)	(2, 36.0505801512089)	(3, 36.11669399577935)	(4, 36.098880416870806)	(5, 36.10681414234413)	(6, 36.14473616872929)	(7, 36.07626228253193)	(8, 36.1137307488218)	(9, 36.12154695315025)	(10, 36.10860519912065)	(15, 36.068638946063466)	(20, 36.04620122456293)	(25, 36.0021066004339)	(30, 35.95877289180569)	(35, 35.92073629155307)	(40, 35.86192065805922)	(45, 35.81352758398847)	(50, 35.77600459923255)	(55, 35.73086572635775)	(60, 35.70103828020074)	(65, 35.65287261509457)	(70, 35.589477220813606)	(75, 35.55486671338738)	(80, 35.48945036236098)	(85, 35.431888369957065)	(90, 35.378113974299986)	(95, 35.32138363205449)	(100, 35.27340175867372)	(105, 35.1760320742704)	(110, 35.12409934470555)	(115, 35.05590649805609)	(120, 35.00511348929405)	(125, 34.8875894958047)	(130, 34.80589778570679)	(135, 34.63827328265907)	(140, 34.50714517462249)	(145, 34.400059623791755)	(150, 34.19363748167355)
RAM23_1	(1, 36.11794037388779)	(2, 36.14118054735685)	(3, 36.24763288279415)	(4, 36.246818655355796)	(5, 36.29738526224322)	(6, 36.35197114759597)	(7, 36.328280341914514)	(8, 36.31800011202523)	(9, 36.354431419041035)	(10, 36.320252922602705)	(15, 36.29562511605743)	(20, 36.260150982236084)	(25, 36.20830840404088)	(30, 36.171372594045536)	(35, 36.13986580207764)	(40, 36.11459254585652)	(45, 36.09023772780114)	(50, 36.06543765162917)	(55, 36.0374938072957)	(60, 36.01062299075831)	(65, 35.98348405357142)	(70, 35.950946175120365)	(75, 35.91721697386093)	(80, 35.884115607185535)	(85, 35.85940550168515)	(90, 35.814673916676725)	(95, 35.78315714239076)	(100, 35.751304629906855)	(105, 35.70751897662677)	(110, 35.654874178332875)	(115, 35.599330847186614)	(120, 35.56084313072755)	(125, 35.49874676475214)	(130, 35.48487026523824)	(135, 35.423967260073724)	(140, 35.378736143773416)	(145, 35.32511855625305)	(150, 35.17751160931258)
RAM23_2	(1, 36.14024222244045)	(2, 36.07989190538502)	(3, 36.11125527130324)	(4, 36.13267532679273)	(5, 36.15774386111779)	(6, 36.191147436306416)	(7, 36.138871698200646)	(8, 36.16649753625616)	(9, 36.18047635128491)	(10, 36.16361107564799)	(15, 36.13424282332666)	(20, 36.11360481560523)	(25, 36.07232960497864)	(30, 36.02907235252926)	(35, 35.99661373550089)	(40, 35.9427261061567)	(45, 35.898886140758606)	(50, 35.8627053652623)	(55, 35.82363997244672)	(60, 35.793001460417024)	(65, 35.75211875349795)	(70, 35.69534910301603)	(75, 35.66304649053695)	(80, 35.61277519930074)	(85, 35.56202402986699)	(90, 35.5114325126176)	(95, 35.46183338576539)	(100, 35.41484953537761)	(105, 35.32981051833868)	(110, 35.29771347151467)	(115, 35.224922719788346)	(120, 35.18905979479911)	(125, 35.0818896670871)	(130, 35.021561131994865)	(135, 34.881485013249936)	(140, 34.77303826518476)	(145, 34.67731300142407)	(150, 34.50803527925145)
RAM33_1	(1, 36.429147116562994)	(2, 36.44707199124111)	(3, 36.49870419404508)	(4, 36.50322057809319)	(5, 36.52205731315834)	(6, 36.51594817106954)	(7, 36.52642079706538)	(8, 36.525730885828494)	(9, 36.51373173922463)	(10, 36.503723354111436)	(15, 36.47654233986005)	(20, 36.44285570162889)	(25, 36.38924287554805)	(30, 36.34987982991616)	(35, 36.32103049237319)	(40, 36.289641987089894)	(45, 36.26009129354016)	(50, 36.217915861094895)	(55, 36.165111611314444)	(60, 36.15184695762623)	(65, 36.10096814153145)	(70, 36.05178457370713)	(75, 36.03893917567887)	(80, 35.99259255461487)	(85, 35.947438935041006)	(90, 35.88673342782435)	(95, 35.84454377211016)	(100, 35.78483521681388)	(105, 35.71609450535275)	(110, 35.66691052406131)	(115, 35.607706398651764)	(120, 35.4964012814173)	(125, 35.427230084529214)	(130, 35.347326720064565)	(135, 35.251665263634905)	(140, 35.093353102574575)	(145, 35.069050199870006)	(150, 34.82062225147732)
RAM33_2	(1, 36.280180370896545)	(2, 36.324484695928014)	(3, 36.366437881526785)	(4, 36.380917003918015)	(5, 36.39604560046176)	(6, 36.382975243242704)	(7, 36.3310730464092)	(8, 36.37304095143746)	(9, 36.34309997800355)	(10, 36.332451330785275)	(15, 36.316420003208506)	(20, 36.27982204375144)	(25, 36.23112701213774)	(30, 36.18637381066183)	(35, 36.139492791614224)	(40, 36.10330456153466)	(45, 36.05663249223095)	(50, 36.01088121420408)	(55, 35.96832358929153)	(60, 35.907143587207656)	(65, 35.86225888664881)	(70, 35.801529596803405)	(75, 35.737330788581026)	(80, 35.667194625588984)	(85, 35.595134120464465)	(90, 35.581334605709486)	(95, 35.45668898837827)	(100, 35.39957599773751)	(105, 35.33458179454654)	(110, 35.240073365605824)	(115, 35.15227100950479)	(120, 35.005296001111404)	(125, 34.89294330704234)	(130, 34.80935666169955)	(135, 34.7063870085323)	(140, 34.60107456796821)	(145, 34.37460948030491)	(150, 34.04657682301788)
RAM46_1	(1, 36.202805078621225)	(2, 36.19204719968159)	(3, 36.31327623144679)	(4, 36.30525608320361)	(5, 36.36384528583304)	(6, 36.42047117325)	(7, 36.39960932669271)	(8, 36.39210084346984)	(9, 36.42337091582966)	(10, 36.39644917916504)	(15, 36.36992888146112)	(20, 36.33661631296927)	(25, 36.291128646988625)	(30, 36.25457851577481)	(35, 36.22159706030459)	(40, 36.19458276801025)	(45, 36.17274533188025)	(50, 36.14764433470008)	(55, 36.11846737153805)	(60, 36.08903117618585)	(65, 36.0608996014534)	(70, 36.03104781498415)	(75, 35.993644957052354)	(80, 35.96117465269732)	(85, 35.9336689221611)	(90, 35.88790868881128)	(95, 35.85585650556773)	(100, 35.82109160167688)	(105, 35.77434250946063)	(110, 35.723621181034346)	(115, 35.6581597492512)	(120, 35.61762786799411)	(125, 35.54700130762499)	(130, 35.537560699277286)	(135, 35.46326815061821)	(140, 35.42802401043781)	(145, 35.37140668810618)	(150, 35.20096885609793)
RAM46_2	(1, 35.96829686374906)	(2, 36.08833416271909)	(3, 36.18771194880134)	(4, 36.18312712451176)	(5, 36.198444132485)	(6, 36.23216909006971)	(7, 36.17491795142398)	(8, 36.19833779365642)	(9, 36.215981803542114)	(10, 36.19276321446071)	(15, 36.156793374366245)	(20, 36.13838978635976)	(25, 36.09876200915555)	(30, 36.05244595447631)	(35, 36.02140047183078)	(40, 35.96218546453629)	(45, 35.917652449789)	(50, 35.88163701708649)	(55, 35.83918919212732)	(60, 35.8080098964949)	(65, 35.76469208287656)	(70, 35.702118718802915)	(75, 35.67193892909684)	(80, 35.60913658734981)	(85, 35.55514260570584)	(90, 35.50286297200951)	(95, 35.45226130441374)	(100, 35.4040756365555)	(105, 35.31008781913754)	(110, 35.26527700573051)	(115, 35.19813962393609)	(120, 35.15167474760505)	(125, 35.04136182484809)	(130, 34.96546991121762)	(135, 34.80573767159736)	(140, 34.68388547057798)	(145, 34.57865202555374)	(150, 34.38719505907899)
RAM54_1	(1, 36.15516745806877)	(2, 36.137000246525524)	(3, 36.26489688144896)	(4, 36.25766103463124)	(5, 36.314127267378055)	(6, 36.37414002892472)	(7, 36.346951594007685)	(8, 36.343483171037896)	(9, 36.37866121877437)	(10, 36.34005126989406)	(15, 36.30765357239257)	(20, 36.267665394368294)	(25, 36.21379669819428)	(30, 36.17500720817102)	(35, 36.13856566121284)	(40, 36.112770488574974)	(45, 36.08828750666568)	(50, 36.065725058913344)	(55, 36.032717100491716)	(60, 36.005930929774486)	(65, 35.97335433029396)	(70, 35.9447299369484)	(75, 35.90590809244791)	(80, 35.86990561274759)	(85, 35.84509467583492)	(90, 35.79375896067857)	(95, 35.7651005510296)	(100, 35.72164554794531)	(105, 35.67915349642793)	(110, 35.62130651623134)	(115, 35.56137780473914)	(120, 35.51315571266488)	(125, 35.44636185664077)	(130, 35.43182544126758)	(135, 35.35991763478162)	(140, 35.32073530183462)	(145, 35.26440739694169)	(150, 35.090557286375926)
RAM54_2	(1, 36.09130418136557)	(2, 36.05909946023247)	(3, 36.06652763147138)	(4, 36.06774287381773)	(5, 36.101923250603576)	(6, 36.13157591806788)	(7, 36.063559993426836)	(8, 36.11046836077914)	(9, 36.1065020930381)	(10, 36.09590720976254)	(15, 36.06524612061062)	(20, 36.04494162164449)	(25, 35.99918103927924)	(30, 35.95313926314244)	(35, 35.91512034913178)	(40, 35.85681337545082)	(45, 35.80994193898937)	(50, 35.77106162377419)	(55, 35.728198013491344)	(60, 35.69563521995132)	(65, 35.64935291365107)	(70, 35.58445226113501)	(75, 35.550838669339996)	(80, 35.48561673469182)	(85, 35.43027668319182)	(90, 35.37444122852673)	(95, 35.31953495200742)	(100, 35.27246042760449)	(105, 35.17380972179815)	(110, 35.12601834950109)	(115, 35.05590043206841)	(120, 35.006602499297074)	(125, 34.89317952663392)	(130, 34.81569144847901)	(135, 34.65110640871119)	(140, 34.52589671660859)	(145, 34.415865198796915)	(150, 34.22614536415374)
RAM87_1	(1, 36.18591028870346)	(2, 36.18253829678589)	(3, 36.284047013127896)	(4, 36.28159274898993)	(5, 36.33258707128309)	(6, 36.38463530193696)	(7, 36.36082661675513)	(8, 36.35818048177538)	(9, 36.38311452460389)	(10, 36.35508985438347)	(15, 36.32545683436593)	(20, 36.29324123030648)	(25, 36.24133027269204)	(30, 36.20415972971325)	(35, 36.173428927204036)	(40, 36.14807569430279)	(45, 36.127119392698646)	(50, 36.10020901741473)	(55, 36.074911236191305)	(60, 36.044871407295396)	(65, 36.017983647154544)	(70, 35.986553395062245)	(75, 35.95230124776948)	(80, 35.920573231719644)	(85, 35.8955524075176)	(90, 35.853430768059106)	(95, 35.81868221774816)	(100, 35.79110762780146)	(105, 35.744025599688996)	(110, 35.69664808043457)	(115, 35.63641644536538)	(120, 35.60015318274863)	(125, 35.534248888753275)	(130, 35.52453436004325)	(135, 35.4613274209991)	(140, 35.417550769960236)	(145, 35.365628285026894)	(150, 35.2128276142826)
RAM87_2	(1, 35.99866123626979)	(2, 36.07109304411064)	(3, 36.0787415708835)	(4, 36.08746591796856)	(5, 36.11703713247018)	(6, 36.14312861606061)	(7, 36.09505310383421)	(8, 36.11192204167151)	(9, 36.12331845392535)	(10, 36.10218685670922)	(15, 36.06696307446905)	(20, 36.046258314533944)	(25, 36.00311874249759)	(30, 35.96041815035378)	(35, 35.92497590156223)	(40, 35.865655954359354)	(45, 35.81946522155777)	(50, 35.783986419361725)	(55, 35.74321828554237)	(60, 35.710029024859764)	(65, 35.66745368871379)	(70, 35.60883860315768)	(75, 35.57404051551225)	(80, 35.51950281091411)	(85, 35.46646328106298)	(90, 35.41404214540985)	(95, 35.361236589995556)	(100, 35.313948225386206)	(105, 35.226248219967864)	(110, 35.19001273341801)	(115, 35.11765499927453)	(120, 35.07732732707279)	(125, 34.965736350502326)	(130, 34.902741699969376)	(135, 34.75500607413109)	(140, 34.643021096814344)	(145, 34.542043503574135)	(150, 34.36535950260749)
