Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
M12_1	(1, 0.016867382506272868)	(2, 0.012202730264493868)	(3, 6.219536322372002e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0017912264608431366)	(8, 0.0)	(9, 0.0)	(10, 6.219536322372001e-06)	(15, 0.00017414701702641604)	(20, 0.00019404953325800645)	(25, 7.339052860398961e-05)	(30, 0.0009043205812728891)	(35, 0.00041546502633444977)	(40, 0.0008309300526688995)	(45, 0.0009267109120334282)	(50, 0.0011232482598203834)	(55, 0.0006903685317832922)	(60, 0.0002674400618619961)	(65, 0.0003806356229291665)	(70, 7.214662133951522e-05)	(75, 0.0004279040989791937)	(80, 0.0004490505224752585)	(85, 0.00048636774040949053)	(90, 0.0027639619416621177)	(95, 0.0018621291749181773)	(100, 0.002221618374351279)	(105, 0.002369643338823733)	(110, 0.0017016651378009796)	(115, 0.002923182071514841)	(120, 0.0010212478641334827)	(125, 0.0003408305904659857)	(130, 0.00017041529523299285)	(135, 6.592708501714322e-05)	(140, 1.8658608967116005e-05)	(145, 0.0003930746955739105)	(150, 0.00022701307576657807)
M12_2	(1, 0.0005410996600463641)	(2, 0.005336362164595178)	(3, 6.219536322372001e-06)	(4, 0.0)	(5, 1.2439072644744003e-05)	(6, 0.004297699598759053)	(7, 0.0002860986708291121)	(8, 9.951258115795202e-05)	(9, 8.707350851320802e-05)	(10, 6.841489954609202e-05)	(15, 0.0013384442165744548)	(20, 0.0)	(25, 0.0)	(30, 1.2439072644744003e-05)	(35, 0.0)	(40, 1.8658608967116005e-05)	(45, 0.00010946383927374724)	(50, 0.0)	(55, 0.0)	(60, 0.00021519595675407126)	(65, 2.4878145289488005e-05)	(70, 3.3585496140808814e-05)	(75, 2.487814528948801e-06)	(80, 2.736595981843681e-05)	(85, 6.717099228161763e-05)	(90, 0.00023634238025013607)	(95, 1.4926887173692805e-05)	(100, 2.6122052553962404e-05)	(105, 0.00020524469863827607)	(110, 0.0002487814528948801)	(115, 0.00024007410204355926)	(120, 7.463443586846403e-06)	(125, 0.00016543966617509526)	(130, 0.0006717099228161762)	(135, 5.8463641430296816e-05)	(140, 2.736595981843681e-05)	(145, 0.04251923811426395)	(150, 0.0018938488101622746)
M1_1	(1, 0.01751695967732671)	(2, 0.011394656105493797)	(3, 5.976218237147097e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.001640139893972592)	(8, 0.0)	(9, 0.0)	(10, 2.6560969942875984e-06)	(15, 0.0002018633715658575)	(20, 0.0001699902076344063)	(25, 5.0465842891464374e-05)	(30, 0.0007915169042977045)	(35, 0.00035990114272596964)	(40, 0.000747691303891959)	(45, 0.0009004168810634959)	(50, 0.0010159571003150064)	(55, 0.0006122303571832915)	(60, 0.00023772068098874008)	(65, 0.00031076334833164904)	(70, 5.312193988575197e-05)	(75, 0.0003665413852116886)	(80, 0.000390446258160277)	(85, 0.00045817673151461074)	(90, 0.0025910226179275526)	(95, 0.0016746691548983309)	(100, 0.001998712988201418)	(105, 0.002091676383001484)	(110, 0.0015192874807325066)	(115, 0.0027185152736533573)	(120, 0.0009522107724521041)	(125, 0.00027092189341733504)	(130, 0.00014475728618867413)	(135, 5.976218237147097e-05)	(140, 2.257682445144459e-05)	(145, 0.00034529260925738784)	(150, 0.00019588715332871038)
M1_2	(1, 0.0005245791563718008)	(2, 0.00509306598654647)	(3, 6.6402424857189965e-06)	(4, 0.0)	(5, 1.992072745715699e-05)	(6, 0.004694651437403331)	(7, 0.00020584751705728888)	(8, 8.632315231434696e-05)	(9, 3.984145491431398e-05)	(10, 4.2497551908601574e-05)	(15, 0.0012589899752923218)	(20, 0.0)	(25, 0.0)	(30, 7.968290982862796e-06)	(35, 0.0)	(40, 1.593658196572559e-05)	(45, 0.00011288412225722294)	(50, 0.0)	(55, 0.0)	(60, 0.00019787922607442611)	(65, 3.320121242859499e-05)	(70, 2.257682445144459e-05)	(75, 3.984145491431398e-06)	(80, 3.054511543430738e-05)	(85, 8.897924930863454e-05)	(90, 0.0002470170204687467)	(95, 1.3280484971437993e-05)	(100, 1.593658196572559e-05)	(105, 0.00019787922607442611)	(110, 0.00025232921445732183)	(115, 0.00024436092347445906)	(120, 1.3280484971437993e-05)	(125, 0.00015272557717153692)	(130, 0.0006507437636004617)	(135, 3.718535792002638e-05)	(140, 3.187316393145118e-05)	(145, 0.04154268503915519)	(150, 0.0018194264410870049)
RAM22_1	(1, 0.017245888887148748)	(2, 0.01191859249869808)	(3, 4.316096611013273e-05)	(4, 6.165852301447533e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0017695996105154418)	(8, 0.0)	(9, 0.0)	(10, 1.2331704602895064e-06)	(15, 0.00016401167121850437)	(20, 0.00018744190996400497)	(25, 6.782437531592285e-05)	(30, 0.0008336232311557064)	(35, 0.0004118789337366952)	(40, 0.0008323900606954169)	(45, 0.0009372095498200248)	(50, 0.001051894402626949)	(55, 0.0006165852301447533)	(60, 0.00029472774000919205)	(65, 0.00035022041072221984)	(70, 7.029071623650186e-05)	(75, 0.0003958477177529316)	(80, 0.00040078039959408964)	(85, 0.0004488740475453803)	(90, 0.0026796794102090975)	(95, 0.001759734246833126)	(100, 0.002108721487095056)	(105, 0.0022419038968063227)	(110, 0.001601888427916069)	(115, 0.002858489126951076)	(120, 0.0009557071067243675)	(125, 0.0002885618877077445)	(130, 0.00017511020536110992)	(135, 5.549267071302779e-05)	(140, 2.219706828521112e-05)	(145, 0.00036748479716627294)	(150, 0.00025279994435934886)
RAM22_2	(1, 0.000567258411733173)	(2, 0.00507449644409132)	(3, 6.165852301447533e-06)	(4, 0.0)	(5, 1.2331704602895065e-05)	(6, 0.004383920986329196)	(7, 0.0002651316489622439)	(8, 7.399022761737039e-05)	(9, 4.932681841158026e-05)	(10, 6.659120485563335e-05)	(15, 0.0012763314263996392)	(20, 0.0)	(25, 0.0)	(30, 1.2331704602895065e-05)	(35, 0.0)	(40, 1.8497556904342597e-05)	(45, 0.00011098534142605558)	(50, 0.0)	(55, 0.0)	(60, 0.00022073751239182166)	(65, 3.3295602427816676e-05)	(70, 1.356487506318457e-05)	(75, 1.2331704602895064e-06)	(80, 2.9596091046948154e-05)	(85, 7.768973899823891e-05)	(90, 0.00025526628527992786)	(95, 1.726438644405309e-05)	(100, 1.4798045523474077e-05)	(105, 0.00018744190996400497)	(110, 0.0002515667738990593)	(115, 0.0002663648194225334)	(120, 7.399022761737039e-06)	(125, 0.00014181460293329325)	(130, 0.0006831764350003866)	(135, 3.3295602427816676e-05)	(140, 1.9730727364632103e-05)	(145, 0.04138150113593497)	(150, 0.0018929166565443923)
RAM23_1	(1, 0.017946104958557477)	(2, 0.010086165318480405)	(3, 5.8414084856064124e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0021288688703098926)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0002427429748463109)	(20, 0.0001505785298511875)	(25, 3.3750360139059274e-05)	(30, 0.0006477472965150221)	(35, 0.0003180322397719047)	(40, 0.0006737091120066062)	(45, 0.0008229895510832145)	(50, 0.0008567399112222739)	(55, 0.0005244286729299979)	(60, 0.00019990597928519724)	(65, 0.00027908951653452863)	(70, 2.8557997040742463e-05)	(75, 0.0003245226936448007)	(80, 0.0003323112382922759)	(85, 0.00042966804638571614)	(90, 0.0022314180415016495)	(95, 0.001375976221053955)	(100, 0.001696604642375018)	(105, 0.0017498263641327653)	(110, 0.0012695327775384603)	(115, 0.002258677947767813)	(120, 0.0008152010064357394)	(125, 0.00022197352245304365)	(130, 0.0001843288899902468)	(135, 8.437590034764818e-05)	(140, 3.504845091363847e-05)	(145, 0.0004789954958197258)	(150, 0.00014603521214016032)
RAM23_2	(1, 0.0005646694869419533)	(2, 0.00623732617185307)	(3, 0.0)	(4, 0.0)	(5, 6.490453872896015e-06)	(6, 0.0045822604342645856)	(7, 0.00029207042428032063)	(8, 3.245226936448007e-05)	(9, 7.788544647475217e-05)	(10, 2.985608781532166e-05)	(15, 0.0009969337148768276)	(20, 0.0)	(25, 0.0)	(30, 1.6875180069529637e-05)	(35, 0.0)	(40, 1.4278998520371231e-05)	(45, 0.0001401938036545539)	(50, 0.0)	(55, 0.0)	(60, 0.00026091624569041976)	(65, 1.817327084410884e-05)	(70, 2.985608781532166e-05)	(75, 0.0)	(80, 2.596181549158406e-05)	(85, 8.82701726713858e-05)	(90, 0.00020899261470725165)	(95, 2.0769452393267243e-05)	(100, 5.192363098316811e-06)	(105, 0.00021807925012930609)	(110, 0.0002271658855513605)	(115, 0.00019081934386314282)	(120, 1.4278998520371231e-05)	(125, 0.00020509834238351403)	(130, 0.0006101026640522253)	(135, 3.894272323737608e-05)	(140, 2.4663724717004853e-05)	(145, 0.03190836932993139)	(150, 0.0017524225456819237)
RAM33_1	(1, 0.0)	(2, 0.0032002355108717044)	(3, 0.0)	(4, 0.0)	(5, 6.615473924282593e-05)	(6, 0.007913760681923052)	(7, 7.442408164817918e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00017861779595563002)	(15, 0.0003688126712787546)	(20, 0.0013892495240993446)	(25, 0.0)	(30, 3.142350114034232e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04370182074381081)	(60, 0.0)	(65, 0.0)	(70, 0.042206723636922946)	(75, 3.3077369621412963e-06)	(80, 0.00015215590025849965)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.021230709691503914)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 1.6538684810706481e-06)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
RAM33_2	(1, 6.615473924282593e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.788539683747269e-05)	(15, 0.0)	(20, 6.6154739242825925e-06)	(25, 1.6538684810706481e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 1.6538684810706481e-06)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 9.59243719020976e-05)	(100, 1.6538684810706481e-06)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.000150502031777429)	(125, 0.0)	(130, 0.0)	(135, 5.953926531854334e-05)	(140, 1.1577079367494538e-05)	(145, 0.00011246305671280409)	(150, 0.00021500290253918428)
