Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
M12_1	(15.0, 2.0)	(16.0, 7.0)	(17.0, 18.0)	(18.0, 31.0)	(19.0, 110.0)	(20.0, 294.0)	(21.0, 843.0)	(22.0, 1937.0)	(23.0, 4037.0)	(24.0, 8555.0)	(25.0, 16874.0)	(26.0, 32352.0)	(27.0, 58381.0)	(28.0, 95277.0)	(29.0, 144469.0)	(30.0, 199229.0)	(31.0, 266832.0)	(32.0, 341441.0)	(33.0, 470038.0)	(34.0, 722741.0)	(35.0, 1860443.0)	(36.0, 11223097.0)	(37.0, 631361.0)				
M12_2	(11.0, 27.0)	(12.0, 908.0)	(13.0, 4359.0)	(14.0, 6078.0)	(15.0, 5392.0)	(16.0, 4257.0)	(17.0, 3890.0)	(18.0, 3866.0)	(19.0, 4484.0)	(20.0, 5766.0)	(21.0, 8830.0)	(22.0, 14456.0)	(23.0, 22124.0)	(24.0, 28671.0)	(25.0, 36874.0)	(26.0, 47577.0)	(27.0, 64546.0)	(28.0, 85160.0)	(29.0, 116333.0)	(30.0, 160948.0)	(31.0, 234329.0)	(32.0, 357330.0)	(33.0, 643972.0)	(34.0, 1438058.0)	(35.0, 4501450.0)	(36.0, 8163638.0)	(37.0, 115046.0)
M1_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 7.0)	(18.0, 16.0)	(19.0, 74.0)	(20.0, 242.0)	(21.0, 765.0)	(22.0, 1729.0)	(23.0, 4174.0)	(24.0, 8450.0)	(25.0, 17276.0)	(26.0, 31556.0)	(27.0, 56846.0)	(28.0, 91475.0)	(29.0, 136850.0)	(30.0, 186112.0)	(31.0, 249928.0)	(32.0, 318508.0)	(33.0, 437175.0)	(34.0, 672560.0)	(35.0, 1739999.0)	(36.0, 10507284.0)	(37.0, 598663.0)			
M1_2	(11.0, 29.0)	(12.0, 988.0)	(13.0, 4725.0)	(14.0, 6317.0)	(15.0, 5629.0)	(16.0, 4543.0)	(17.0, 4295.0)	(18.0, 4054.0)	(19.0, 4658.0)	(20.0, 5938.0)	(21.0, 9228.0)	(22.0, 14700.0)	(23.0, 22286.0)	(24.0, 28763.0)	(25.0, 36513.0)	(26.0, 46369.0)	(27.0, 61978.0)	(28.0, 81257.0)	(29.0, 110356.0)	(30.0, 151570.0)	(31.0, 218818.0)	(32.0, 332252.0)	(33.0, 593687.0)	(34.0, 1304546.0)	(35.0, 4064976.0)	(36.0, 7824578.0)	(37.0, 116638.0)
RAM22_1	(14.0, 2.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 18.0)	(18.0, 29.0)	(19.0, 94.0)	(20.0, 290.0)	(21.0, 816.0)	(22.0, 1745.0)	(23.0, 3805.0)	(24.0, 7535.0)	(25.0, 14919.0)	(26.0, 28570.0)	(27.0, 52796.0)	(28.0, 86529.0)	(29.0, 134508.0)	(30.0, 189184.0)	(31.0, 258070.0)	(32.0, 333541.0)	(33.0, 462289.0)	(34.0, 720493.0)	(35.0, 1862376.0)	(36.0, 11404270.0)	(37.0, 656474.0)			
RAM22_2	(11.0, 16.0)	(12.0, 356.0)	(13.0, 2475.0)	(14.0, 5289.0)	(15.0, 5994.0)	(16.0, 5324.0)	(17.0, 4986.0)	(18.0, 4608.0)	(19.0, 4944.0)	(20.0, 5969.0)	(21.0, 9186.0)	(22.0, 15451.0)	(23.0, 22765.0)	(24.0, 27801.0)	(25.0, 33393.0)	(26.0, 42163.0)	(27.0, 58128.0)	(28.0, 79028.0)	(29.0, 110097.0)	(30.0, 154216.0)	(31.0, 225769.0)	(32.0, 346051.0)	(33.0, 622465.0)	(34.0, 1368798.0)	(35.0, 4374832.0)	(36.0, 8558679.0)	(37.0, 129575.0)
RAM23_1	(16.0, 4.0)	(17.0, 19.0)	(18.0, 46.0)	(19.0, 85.0)	(20.0, 295.0)	(21.0, 732.0)	(22.0, 1666.0)	(23.0, 3712.0)	(24.0, 7452.0)	(25.0, 15733.0)	(26.0, 30314.0)	(27.0, 55838.0)	(28.0, 90757.0)	(29.0, 137292.0)	(30.0, 189359.0)	(31.0, 252561.0)	(32.0, 322388.0)	(33.0, 442676.0)	(34.0, 683208.0)	(35.0, 1785699.0)	(36.0, 10802031.0)	(37.0, 585376.0)					
RAM23_2	(11.0, 15.0)	(12.0, 408.0)	(13.0, 2745.0)	(14.0, 4149.0)	(15.0, 4089.0)	(16.0, 3405.0)	(17.0, 3112.0)	(18.0, 3119.0)	(19.0, 3521.0)	(20.0, 4385.0)	(21.0, 6763.0)	(22.0, 10800.0)	(23.0, 16065.0)	(24.0, 21266.0)	(25.0, 27878.0)	(26.0, 36994.0)	(27.0, 51586.0)	(28.0, 69806.0)	(29.0, 96863.0)	(30.0, 133711.0)	(31.0, 194749.0)	(32.0, 292160.0)	(33.0, 515412.0)	(34.0, 1126692.0)	(35.0, 3788151.0)	(36.0, 8812735.0)	(37.0, 176664.0)
RAM33_1	(15.0, 2.0)	(16.0, 9.0)	(17.0, 30.0)	(18.0, 75.0)	(19.0, 201.0)	(20.0, 525.0)	(21.0, 1177.0)	(22.0, 2309.0)	(23.0, 4263.0)	(24.0, 7722.0)	(25.0, 14200.0)	(26.0, 24574.0)	(27.0, 41868.0)	(28.0, 65320.0)	(29.0, 97105.0)	(30.0, 131279.0)	(31.0, 176179.0)	(32.0, 229377.0)	(33.0, 326991.0)	(34.0, 528350.0)	(35.0, 1336811.0)	(36.0, 8495804.0)	(37.0, 608689.0)				
RAM33_2	(11.0, 2.0)	(12.0, 126.0)	(13.0, 880.0)	(14.0, 1544.0)	(15.0, 1690.0)	(16.0, 1478.0)	(17.0, 1373.0)	(18.0, 1273.0)	(19.0, 1641.0)	(20.0, 2297.0)	(21.0, 3686.0)	(22.0, 6399.0)	(23.0, 10587.0)	(24.0, 14819.0)	(25.0, 20166.0)	(26.0, 26948.0)	(27.0, 38068.0)	(28.0, 53147.0)	(29.0, 76268.0)	(30.0, 108631.0)	(31.0, 162596.0)	(32.0, 249970.0)	(33.0, 436831.0)	(34.0, 890463.0)	(35.0, 2752071.0)	(36.0, 7094656.0)	(37.0, 135250.0)
RAM46_1	(15.0, 3.0)	(16.0, 3.0)	(17.0, 17.0)	(18.0, 17.0)	(19.0, 87.0)	(20.0, 245.0)	(21.0, 623.0)	(22.0, 1510.0)	(23.0, 3083.0)	(24.0, 5966.0)	(25.0, 12166.0)	(26.0, 23037.0)	(27.0, 43941.0)	(28.0, 74228.0)	(29.0, 117075.0)	(30.0, 168313.0)	(31.0, 232697.0)	(32.0, 304737.0)	(33.0, 424934.0)	(34.0, 658515.0)	(35.0, 1684768.0)	(36.0, 10738646.0)	(37.0, 683288.0)				
RAM46_2	(11.0, 13.0)	(12.0, 129.0)	(13.0, 929.0)	(14.0, 2309.0)	(15.0, 3244.0)	(16.0, 3291.0)	(17.0, 3401.0)	(18.0, 3330.0)	(19.0, 3684.0)	(20.0, 4397.0)	(21.0, 6876.0)	(22.0, 11056.0)	(23.0, 16484.0)	(24.0, 20480.0)	(25.0, 25389.0)	(26.0, 32962.0)	(27.0, 46303.0)	(28.0, 63581.0)	(29.0, 90365.0)	(30.0, 129315.0)	(31.0, 192232.0)	(32.0, 297845.0)	(33.0, 533303.0)	(34.0, 1172710.0)	(35.0, 3835045.0)	(36.0, 8533001.0)	(37.0, 146225.0)
RAM54_1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 8.0)	(18.0, 39.0)	(19.0, 65.0)	(20.0, 291.0)	(21.0, 774.0)	(22.0, 1852.0)	(23.0, 4191.0)	(24.0, 8609.0)	(25.0, 18003.0)	(26.0, 33728.0)	(27.0, 60194.0)	(28.0, 96386.0)	(29.0, 145153.0)	(30.0, 197813.0)	(31.0, 261180.0)	(32.0, 332394.0)	(33.0, 455586.0)	(34.0, 703590.0)	(35.0, 1815753.0)	(36.0, 10899968.0)	(37.0, 609855.0)			
RAM54_2	(11.0, 25.0)	(12.0, 1003.0)	(13.0, 5421.0)	(14.0, 7165.0)	(15.0, 5961.0)	(16.0, 4616.0)	(17.0, 4061.0)	(18.0, 3831.0)	(19.0, 4378.0)	(20.0, 5531.0)	(21.0, 8129.0)	(22.0, 13662.0)	(23.0, 20744.0)	(24.0, 26440.0)	(25.0, 34310.0)	(26.0, 43445.0)	(27.0, 58700.0)	(28.0, 78368.0)	(29.0, 107578.0)	(30.0, 148124.0)	(31.0, 215522.0)	(32.0, 327569.0)	(33.0, 588400.0)	(34.0, 1305109.0)	(35.0, 4202068.0)	(36.0, 8293658.0)	(37.0, 131621.0)
RAM87_1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 9.0)	(18.0, 25.0)	(19.0, 102.0)	(20.0, 296.0)	(21.0, 770.0)	(22.0, 1686.0)	(23.0, 3819.0)	(24.0, 7816.0)	(25.0, 15963.0)	(26.0, 30815.0)	(27.0, 55823.0)	(28.0, 90827.0)	(29.0, 137502.0)	(30.0, 188349.0)	(31.0, 252308.0)	(32.0, 321142.0)	(33.0, 438859.0)	(34.0, 675492.0)	(35.0, 1745558.0)	(36.0, 11283781.0)	(37.0, 676435.0)				
RAM87_2	(11.0, 18.0)	(12.0, 463.0)	(13.0, 3236.0)	(14.0, 5774.0)	(15.0, 6178.0)	(16.0, 5251.0)	(17.0, 4732.0)	(18.0, 4461.0)	(19.0, 4679.0)	(20.0, 5901.0)	(21.0, 9233.0)	(22.0, 15582.0)	(23.0, 23069.0)	(24.0, 28188.0)	(25.0, 34403.0)	(26.0, 42179.0)	(27.0, 56945.0)	(28.0, 76093.0)	(29.0, 104288.0)	(30.0, 144293.0)	(31.0, 209769.0)	(32.0, 317712.0)	(33.0, 569950.0)	(34.0, 1264908.0)	(35.0, 4159779.0)	(36.0, 8688045.0)	(37.0, 142252.0)
