Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
M12_2 - polya	(1, 0.0002674400618619961)	(2, 0.0003669526430199481)	(3, 0.0014740301084021645)	(4, 0.003047572797962281)	(5, 0.004826360186160674)	(6, 0.006953441608411898)	(7, 0.009105401175952611)	(8, 0.011363092860973647)	(9, 0.013875785535211935)	(10, 0.024147971725241534)	(15, 0.04199057752686233)	(20, 0.057881492830522796)	(25, 0.0714574967149964)	(30, 0.08342761632103354)	(35, 0.09409536502116601)	(40, 0.10397820823741513)	(45, 0.1126345588908925)	(50, 0.12047988200793251)	(55, 0.1280913505592514)	(60, 0.13519281713213574)	(65, 0.14155291497539335)	(70, 0.14750998686496125)	(75, 0.15314364286576582)	(80, 0.15847254158677412)	(85, 0.1637840256060798)	(90, 0.1688479720797551)	(95, 0.17361213690269203)	(100, 0.17809020305479992)	(105, 0.18218265795492067)	(110, 0.1861556977576519)	(115, 0.19016481087105291)	(120, 0.19381194697049184)	(125, 0.1975312296912703)	(130, 0.2012393172466685)	(135, 0.20495611215291804)	(140, 0.20714165721659952)
M12_2 - polyg	(1, 0.19409928954858544)	(2, 0.19857735570069326)	(3, 0.19870796596346307)	(4, 0.19878881993565392)	(5, 0.19890699112577898)	(6, 0.1990127232432593)	(7, 0.19909979675177253)	(8, 0.19921796794189758)	(9, 0.19936101727731215)	(10, 0.1999792391877559)	(15, 0.2005290461986536)	(20, 0.20078529109513532)	(25, 0.20095446248310384)	(30, 0.20126046367016456)	(35, 0.20159383081704368)	(40, 0.20186624650796361)	(45, 0.20213119875529664)	(50, 0.20245834636585341)	(55, 0.20280042086358385)	(60, 0.2032693739022907)	(65, 0.20374330257005546)	(70, 0.20425828017754782)	(75, 0.20479440420853628)	(80, 0.20541635784077356)	(85, 0.20619753160286347)	(90, 0.20714538893839296)	(95, 0.20806339249957503)	(100, 0.20907593301285718)	(105, 0.2101344980949249)	(110, 0.21135352721410983)	(115, 0.21265341030548562)	(120, 0.21412992822841667)	(125, 0.21549449449754512)	(130, 0.21702076871105525)	(135, 0.21864282378392982)	(140, 0.2196740229061791)
M1_2 - polya	(1, 0.0004382560040574538)	(2, 0.0006972254610004946)	(3, 0.002091676383001484)	(4, 0.003672054094602605)	(5, 0.005903175569804188)	(6, 0.008519431109177472)	(7, 0.011069284223693568)	(8, 0.013824984855266951)	(9, 0.01693925858106916)	(10, 0.029444163230175173)	(15, 0.05076066965783029)	(20, 0.07034141669971847)	(25, 0.0876047191140907)	(30, 0.1027311914965586)	(35, 0.11556545217295626)	(40, 0.12683527171971856)	(45, 0.13739060117501747)	(50, 0.14675732722537269)	(55, 0.1556512680107447)	(60, 0.163966179651362)	(65, 0.171566601200516)	(70, 0.17861455457485814)	(75, 0.18495864224571407)	(80, 0.19135319575946147)	(85, 0.19693896773844827)	(90, 0.2024915385050065)	(95, 0.20770678495329023)	(100, 0.21263517292619083)	(105, 0.21727935852070274)	(110, 0.22173230513162587)	(115, 0.22636453828966346)	(120, 0.23077365930018087)	(125, 0.23481756697398373)	(130, 0.23909122703779245)	(135, 0.24338746392605265)	(140, 0.24568233172911716)
M1_2 - polyg	(1, 0.21663791109658226)	(2, 0.22118647719929976)	(3, 0.22127944059409985)	(4, 0.22137904423138563)	(5, 0.2215052088386143)	(6, 0.2216180929608715)	(7, 0.22171105635567157)	(8, 0.22183722096290023)	(9, 0.2220696294499004)	(10, 0.22280138417182666)	(15, 0.22344681574143851)	(20, 0.22370445714988443)	(25, 0.2239939717222618)	(30, 0.2242954387311134)	(35, 0.22460487403094792)	(40, 0.22492094957326816)	(45, 0.22518523122419976)	(50, 0.2254322482446685)	(55, 0.22576691646594874)	(60, 0.22611884931769186)	(65, 0.22644953339348067)	(70, 0.2268599003790981)	(75, 0.22733534174107556)	(80, 0.22792499527380744)	(85, 0.2287908828939452)	(90, 0.22983738510969448)	(95, 0.230747098330238)	(100, 0.23186531516483305)	(105, 0.232991500290411)	(110, 0.23424650612021186)	(115, 0.235808291152853)	(120, 0.23760779686648284)	(125, 0.23974861104387862)	(130, 0.24223471783053183)	(135, 0.2450608050324538)	(140, 0.2468576546490894)
RAM22_2 - polya	(1, 0.0003082926150723766)	(2, 0.000579590116336068)	(3, 0.002706809160335467)	(4, 0.0053827890591636954)	(5, 0.008453383505284568)	(6, 0.011702787668147417)	(7, 0.014822708932679868)	(8, 0.018898337303936686)	(9, 0.023325419256376014)	(10, 0.03967972590073545)	(15, 0.06750375099624759)	(20, 0.09308093951311222)	(25, 0.11476624205730321)	(30, 0.13448957039917359)	(35, 0.1520375860490933)	(40, 0.16750524313250453)	(45, 0.18122303133276502)	(50, 0.19418735238178858)	(55, 0.20582971469738182)	(60, 0.2164719757696803)	(65, 0.22617826046261896)	(70, 0.23554788961989864)	(75, 0.24393591509078788)	(80, 0.25202428013982675)	(85, 0.25950222581102234)	(90, 0.26643757647969046)	(95, 0.27310656232893615)	(100, 0.27937723411950827)	(105, 0.28534577914730946)	(110, 0.29127486272038144)	(115, 0.29706953071328185)	(120, 0.3026089324209023)	(125, 0.30787333711587817)	(130, 0.3132474939818199)	(135, 0.31875236691655223)	(140, 0.3218081633171496)
RAM22_2 - polyg	(1, 0.20272089196699197)	(2, 0.2097561294429436)	(3, 0.20990410989817834)	(4, 0.2100274269442073)	(5, 0.21013841228563335)	(6, 0.21024323177475795)	(7, 0.21032338785467677)	(8, 0.21044670490070574)	(9, 0.2106378463220506)	(10, 0.2111520784039913)	(15, 0.21164164707672625)	(20, 0.21185745190727695)	(25, 0.21210655234025538)	(30, 0.2123445542390913)	(35, 0.21255912589918163)	(40, 0.2128217912072233)	(45, 0.21307582432204297)	(50, 0.21330766036857737)	(55, 0.21359498908582486)	(60, 0.213966173394372)	(65, 0.21432749233923679)	(70, 0.2146456503179915)	(75, 0.21505999559264874)	(80, 0.2155951915724144)	(85, 0.21617478168875048)	(90, 0.21684932593052886)	(95, 0.21750783895632347)	(100, 0.21818978222086355)	(105, 0.21895434790624302)	(110, 0.21977563943279588)	(115, 0.22058953193658692)	(120, 0.22154647221377158)	(125, 0.22247258322944896)	(130, 0.22370945320111937)	(135, 0.22501661388902625)	(140, 0.22592299417733905)
RAM23_2 - polya	(1, 0.00022067543167846447)	(2, 0.00037644632462796883)	(3, 0.001414918944291331)	(4, 0.0028687806118200382)	(5, 0.004601731795883274)	(6, 0.0063801161570567816)	(7, 0.008242876418577938)	(8, 0.010228955303684117)	(9, 0.012753741860240668)	(10, 0.0218585505531392)	(15, 0.03808987759847755)	(20, 0.05257527255200687)	(25, 0.06526151369196942)	(30, 0.076522451161444)	(35, 0.08621789115677606)	(40, 0.09502154278997223)	(45, 0.1026504222721742)	(50, 0.10981328716630223)	(55, 0.1166321580051668)	(60, 0.12277082927815183)	(65, 0.12839286042285436)	(70, 0.1335813292488474)	(75, 0.1382765235805004)	(80, 0.1427276768465325)	(85, 0.14684522078349774)	(90, 0.1508550231861729)	(95, 0.15485963322574975)	(100, 0.1583956324957035)	(105, 0.16200043057670993)	(110, 0.16530017732569027)	(115, 0.1685921355300231)	(120, 0.17181659301407787)	(125, 0.1751968213910821)	(130, 0.17834598961021125)	(135, 0.18138482011350116)	(140, 0.1831476273853797)
RAM23_2 - polyg	(1, 0.15203239151871623)	(2, 0.15617330108962388)	(3, 0.15624469608222574)	(4, 0.15636152425193786)	(5, 0.15638748606742944)	(6, 0.15642642879066684)	(7, 0.1564718619677771)	(8, 0.15652378559876026)	(9, 0.1566535946762182)	(10, 0.15716634053217696)	(15, 0.15757394103539485)	(20, 0.15776735656080715)	(25, 0.15795038736002281)	(30, 0.1581632742470538)	(35, 0.15842678667429339)	(40, 0.15866044301371762)	(45, 0.15899275425200993)	(50, 0.15937309484896162)	(55, 0.15979757053224902)	(60, 0.16018180540152446)	(65, 0.16068027225896286)	(70, 0.1610917670345045)	(75, 0.16156037780412758)	(80, 0.1621263453818441)	(85, 0.16283510294476436)	(90, 0.1636749676759171)	(95, 0.16462646821368365)	(100, 0.16575710527834214)	(105, 0.16686307861828364)	(110, 0.1679989080460404)	(115, 0.16927882554977552)	(120, 0.17061715713836667)	(125, 0.17229818469144675)	(130, 0.17412849268360342)	(135, 0.1760756288454722)	(140, 0.17742953752335833)
RAM33_2 - polya	(1, 0.0001571175057017116)	(2, 0.00030596566899806994)	(3, 0.0009013583221835033)	(4, 0.0015794443994224692)	(5, 0.002629650884902331)	(6, 0.0036467800007607795)	(7, 0.00477141056788882)	(8, 0.006144121407177458)	(9, 0.007715296464194574)	(10, 0.013159831503879149)	(15, 0.02201629722001247)	(20, 0.03012521438270186)	(25, 0.03700034565851255)	(30, 0.04345704820861236)	(35, 0.04922904920754892)	(40, 0.05423696296823084)	(45, 0.058920718506622914)	(50, 0.06311327510613701)	(55, 0.0670527898280473)	(60, 0.07103365126198434)	(65, 0.07491362671857608)	(70, 0.07863648466946613)	(75, 0.08158698603969615)	(80, 0.08422490626700384)	(85, 0.08679832562354976)	(90, 0.08923447389616683)	(95, 0.09158131327080607)	(100, 0.09365195660910654)	(105, 0.09580694723994158)	(110, 0.09803305421546267)	(115, 0.09989034851970502)	(120, 0.10174764282394735)	(125, 0.10362312968148149)	(130, 0.10557800222610698)	(135, 0.10752625929680819)	(140, 0.10879146868482724)
RAM33_2 - polyg	(1, 0.11954161381178646)	(2, 0.1227335799802528)	(3, 0.1229816602524134)	(4, 0.12306435367646694)	(5, 0.123229740524574)	(6, 0.12327935657900613)	(7, 0.12336205000305965)	(8, 0.12346128211192389)	(9, 0.12365974632965238)	(10, 0.12434775561777775)	(15, 0.12503080330045996)	(20, 0.12530865320527979)	(25, 0.12558319537313753)	(30, 0.12582962177681706)	(35, 0.12606943270657228)	(40, 0.12631585911025184)	(45, 0.12661851704228777)	(50, 0.12692117497432368)	(55, 0.1272916415140835)	(60, 0.12769187768650261)	(65, 0.12814999925575918)	(70, 0.12863292885223182)	(75, 0.12925643726959543)	(80, 0.1301445646439304)	(85, 0.13152719869410542)	(90, 0.13304214222276617)	(95, 0.13438508342939554)	(100, 0.13584875703514304)	(105, 0.13726943006038272)	(110, 0.1388984905142373)	(115, 0.14064993723569116)	(120, 0.1425684246737331)	(125, 0.14470522275127634)	(130, 0.1470256002302185)	(135, 0.14965028950967763)	(140, 0.1516680090565838)
RAM46_2 - polya	(1, 0.00031624930433388703)	(2, 0.0006786182988831326)	(3, 0.0025365829618447192)	(4, 0.00457902638566774)	(5, 0.00716831756490144)	(6, 0.009777374325656008)	(7, 0.012551144265751142)	(8, 0.015911293124298693)	(9, 0.019442743689360432)	(10, 0.03320354154418869)	(15, 0.05668900550728397)	(20, 0.07802002108460467)	(25, 0.09683553698703622)	(30, 0.11305122006675627)	(35, 0.12707819441939888)	(40, 0.13953973471558875)	(45, 0.15043847636619534)	(50, 0.16023693397880695)	(55, 0.1691946955240643)	(60, 0.17775978084977373)	(65, 0.18596645029723813)	(70, 0.19360914181864036)	(75, 0.1999710236574904)	(80, 0.20590596893548968)	(85, 0.21135599861351037)	(90, 0.21656488819697645)	(95, 0.2212335185522054)	(100, 0.225870523977001)	(105, 0.23023871749311287)	(110, 0.23475976483965272)	(115, 0.23919384362750074)	(120, 0.24326028259906068)	(125, 0.24733067468692474)	(130, 0.25128642640196774)	(135, 0.254867949773549)	(140, 0.25684714333650527)
RAM46_2 - polyg	(1, 0.1531437256236848)	(2, 0.15763710115609544)	(3, 0.15775569464522066)	(4, 0.15783475697130414)	(5, 0.15799288162347108)	(6, 0.15810488658542265)	(7, 0.15819712596585336)	(8, 0.1583486620908467)	(9, 0.15844748999845104)	(10, 0.1589969731647312)	(15, 0.15940282643862633)	(20, 0.15959257602122665)	(25, 0.15969535704513516)	(30, 0.15984294005382432)	(35, 0.16001424176033852)	(40, 0.16017895493967907)	(45, 0.16040691797988643)	(50, 0.16055845410487973)	(55, 0.1607231672842203)	(60, 0.16099329689833883)	(65, 0.16124893175267538)	(70, 0.16150324890157722)	(75, 0.16182081591134584)	(80, 0.1623716167830607)	(85, 0.1635074788677932)	(90, 0.16451684123079222)	(95, 0.16537598517423263)	(100, 0.1662021864818049)	(105, 0.16702707008394246)	(110, 0.16783350580999384)	(115, 0.16862939989256748)	(120, 0.16944769496753137)	(125, 0.1704728697957471)	(130, 0.17156788301200318)	(135, 0.17286318745433737)	(140, 0.17369334187821384)
RAM54_2 - polya	(1, 0.00031319031699909475)	(2, 0.00044741473857013537)	(3, 0.0015212101111384603)	(4, 0.003112728252623656)	(5, 0.005106919658821973)	(6, 0.007184202373611888)	(7, 0.009050560997361595)	(8, 0.011581650089844076)	(9, 0.01455376228177426)	(10, 0.025659874420909508)	(15, 0.045362741179713784)	(20, 0.06356485107257137)	(25, 0.07849316340692007)	(30, 0.09214826122808059)	(35, 0.10425274739813947)	(40, 0.11555955700571904)	(45, 0.1254602060063639)	(50, 0.1349415634805773)	(55, 0.14371728399567438)	(60, 0.15156493851019456)	(65, 0.15878621239071658)	(70, 0.16557413313873776)	(75, 0.17181109459440544)	(80, 0.1778857084163634)	(85, 0.18347839264849006)	(90, 0.18892918249209883)	(95, 0.19405272041263913)	(100, 0.19886051136053134)	(105, 0.20353663454250145)	(110, 0.20798521537171313)	(115, 0.21233408663061484)	(120, 0.2164669204871784)	(125, 0.2204054485144201)	(130, 0.2243030700512782)	(135, 0.22856501501811488)	(140, 0.23097466296727118)
RAM54_2 - polyg	(1, 0.2191053891169177)	(2, 0.22459580712308552)	(3, 0.22468529007079954)	(4, 0.22476838137939115)	(5, 0.22487064760535003)	(6, 0.2249729138313089)	(7, 0.2250496135007781)	(8, 0.22517105464410428)	(9, 0.22533084562216502)	(10, 0.22594955628921629)	(15, 0.22642253758427616)	(20, 0.22661812174142254)	(25, 0.22681498422639343)	(30, 0.22704891821827436)	(35, 0.2272841305379798)	(40, 0.2275589710202443)	(45, 0.22784787310857815)	(50, 0.22816617673687523)	(55, 0.22850237695471504)	(60, 0.22885136045079973)	(65, 0.22926681699375773)	(70, 0.22973468497751962)	(75, 0.2302345111568937)	(80, 0.23084683018482255)	(85, 0.23160360025691834)	(90, 0.23250993468447895)	(95, 0.2333983725224968)	(100, 0.23438524160300006)	(105, 0.23531714258705044)	(110, 0.2364088345491616)	(115, 0.2375912877868112)	(120, 0.23890413046255846)	(125, 0.24018245828704457)	(130, 0.24169727675906055)	(135, 0.24335271129177008)	(140, 0.24435875528964066)
RAM87_2 - polya	(1, 0.00032648179885946094)	(2, 0.0005148366828168423)	(3, 0.0024800059721055206)	(4, 0.00516720231656416)	(5, 0.007904626630078102)	(6, 0.011075267176694022)	(7, 0.014302414188497155)	(8, 0.018019283898589478)	(9, 0.022062635407541265)	(10, 0.03818079067738757)	(15, 0.06562158587152526)	(20, 0.09040406580341112)	(25, 0.11185266428925131)	(30, 0.13109374353511102)	(35, 0.14763632514347463)	(40, 0.16223759574785085)	(45, 0.17592974011232604)	(50, 0.1881916430579516)	(55, 0.19945526511860298)	(60, 0.20982482933007002)	(65, 0.2194937133732156)	(70, 0.2284116892789844)	(75, 0.23635021978817483)	(80, 0.2439635241977322)	(85, 0.25126667089837307)	(90, 0.25814915835817576)	(95, 0.26462479926863053)	(100, 0.2706697353444361)	(105, 0.27616216376063335)	(110, 0.281793974790959)	(115, 0.2871859472690457)	(120, 0.2923280356010822)	(125, 0.2973558553035179)	(130, 0.30243641437346164)	(135, 0.3076023609907994)	(140, 0.31047163372308356)
RAM87_2 - polyg	(1, 0.2137451223148363)	(2, 0.2208523799361615)	(3, 0.2209465573781402)	(4, 0.22099050685106358)	(5, 0.22113491226209758)	(6, 0.22122908970407626)	(7, 0.22136093812284643)	(8, 0.2214927865416166)	(9, 0.22161835646425485)	(10, 0.22221230219833382)	(15, 0.2226668653182843)	(20, 0.22283387331539317)	(25, 0.22297451162874798)	(30, 0.22318923619645942)	(35, 0.22337256828351126)	(40, 0.22359105994890185)	(45, 0.22372667546535113)	(50, 0.2238723365756115)	(55, 0.22404813446730504)	(60, 0.22424151214816795)	(65, 0.22448888489576535)	(70, 0.2248153666946248)	(75, 0.22514310419271064)	(80, 0.22556250773432246)	(85, 0.22608864571017673)	(90, 0.2266650116550863)	(95, 0.22723384340463762)	(100, 0.22784662462711225)	(105, 0.22861636825288478)	(110, 0.22933086111269643)	(115, 0.2300717236562621)	(120, 0.23087160406346782)	(125, 0.23171794534204965)	(130, 0.23276896559453183)	(135, 0.23395308996501057)	(140, 0.23475297037221624)
