# ResFinder phenotype results.
# Sample: xxi.fna
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	Resistant	3	aac(6')-aph(2'') (aac(6')-aph(2'')_M13771)
spectinomycin	aminocyclitol	No resistance	0	
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
amoxicillin	beta-lactam	Resistant	3	blaZ (blaZ_JBTH01000015), mecA (mecA_NC_007168)
amoxicillin+clavulanic acid	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
ampicillin	beta-lactam	Resistant	3	blaZ (blaZ_JBTH01000015), mecA (mecA_NC_007168)
ampicillin+clavulanic acid	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
cefepime	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
cefixime	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
cefotaxime	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
cefoxitin	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
ceftazidime	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
ertapenem	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
imipenem	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
meropenem	beta-lactam	Resistant	3	mecA (mecA_NC_007168)
piperacillin	beta-lactam	Resistant	3	blaZ (blaZ_JBTH01000015), mecA (mecA_NC_007168)
